Tender ID,Project Name,Project Type,Description,Duration Deadline (days),Location,Max Budget ($),Company ID,Bid Cost ($),Proposed Start Date,Estimated Duration (days),Employees,Experience (years),Company Value ($),Previous Contracts,Reputation Score,Location Advantage,Cost Deviation (%),Deadline Deviation (%),Numeric Rating,Accepted,Reason
48,Project_48,Bridge Construction,Description of Project_48 in Bridge Construction.,283,Suburban,7268969,Company_15,7029601.94,2025-04-09,368,696,17,218671637.11,4,0.68,0,-3.29,30.04,64.83,0,High deviation in cost or deadlines
48,Project_48,Bridge Construction,Description of Project_48 in Bridge Construction.,283,Suburban,7268969,Company_794,7489357.9,2025-03-10,267,400,28,262527301.48,30,0.83,1,3.03,-5.65,88.79,1,Cost-effective and timely
48,Project_48,Bridge Construction,Description of Project_48 in Bridge Construction.,283,Suburban,7268969,Company_427,7875648.72,2025-12-25,274,570,33,287424746.42,13,0.79,1,8.35,-3.18,83.52,1,Cost-effective and timely
48,Project_48,Bridge Construction,Description of Project_48 in Bridge Construction.,283,Suburban,7268969,Company_536,7441150.57,2025-02-13,293,331,20,51907260.41,36,0.68,0,2.37,3.53,78.17,1,Cost-effective and timely
48,Project_48,Bridge Construction,Description of Project_48 in Bridge Construction.,283,Suburban,7268969,Company_312,6104864.21,2025-10-10,297,596,6,167887986.74,19,0.72,1,-16.01,4.95,64.18,0,High deviation in cost or deadlines
49,Project_49,Bridge Construction,Description of Project_49 in Bridge Construction.,220,Suburban,19983028,Company_800,19170379.58,2025-03-26,220,154,14,477409373.56,7,0.76,0,-4.07,0.0,70.11,1,Cost-effective and timely
49,Project_49,Bridge Construction,Description of Project_49 in Bridge Construction.,220,Suburban,19983028,Company_43,22308283.91,2025-08-12,311,971,31,43471247.47,48,0.68,0,11.64,41.36,82.39,1,Cost-effective and timely
49,Project_49,Bridge Construction,Description of Project_49 in Bridge Construction.,220,Suburban,19983028,Company_937,18329898.18,2025-08-06,290,729,35,250328589.23,39,0.56,0,-8.27,31.82,77.3,1,Cost-effective and timely
49,Project_49,Bridge Construction,Description of Project_49 in Bridge Construction.,220,Suburban,19983028,Company_130,21181689.39,2025-03-22,305,278,28,437187785.62,33,0.94,0,6.0,38.64,91.74,1,Cost-effective and timely
49,Project_49,Bridge Construction,Description of Project_49 in Bridge Construction.,220,Suburban,19983028,Company_619,20533745.84,2025-09-07,186,640,11,377608604.56,26,0.87,0,2.76,-15.45,78.35,1,Cost-effective and timely
50,Project_50,Industrial Complex,Description of Project_50 in Industrial Complex.,322,Rural,4123991,Company_792,3374496.62,2025-05-08,379,793,10,1563131.61,38,0.69,0,-18.17,17.7,68.68,0,High deviation in cost or deadlines
50,Project_50,Industrial Complex,Description of Project_50 in Industrial Complex.,322,Rural,4123991,Company_453,4730012.1,2025-05-16,318,271,21,301556798.32,49,0.94,1,14.7,-1.24,95.56,1,Cost-effective and timely
50,Project_50,Industrial Complex,Description of Project_50 in Industrial Complex.,322,Rural,4123991,Company_39,3755762.31,2025-01-04,416,589,25,143568552.86,5,0.93,0,-8.93,29.19,79.36,1,Cost-effective and timely
50,Project_50,Industrial Complex,Description of Project_50 in Industrial Complex.,322,Rural,4123991,Company_437,3531756.32,2025-12-17,287,627,39,329127814.02,33,0.61,0,-14.36,-10.87,81.89,1,Cost-effective and timely
50,Project_50,Industrial Complex,Description of Project_50 in Industrial Complex.,322,Rural,4123991,Company_483,4398215.39,2025-09-25,341,525,12,154413845.33,10,0.63,0,6.65,5.9,63.0,0,High deviation in cost or deadlines
51,Project_51,Bridge Construction,Description of Project_51 in Bridge Construction.,406,Rural,6515873,Company_32,5357734.66,2025-01-03,360,482,41,284390640.47,24,0.58,1,-17.77,-11.33,78.68,1,Cost-effective and timely
51,Project_51,Bridge Construction,Description of Project_51 in Bridge Construction.,406,Rural,6515873,Company_481,7299524.06,2025-02-09,434,110,24,160756655.6,6,0.57,0,12.03,6.9,65.47,0,High deviation in cost or deadlines
51,Project_51,Bridge Construction,Description of Project_51 in Bridge Construction.,406,Rural,6515873,Company_686,6197409.3,2025-01-12,427,321,34,310072352.59,33,0.92,0,-4.89,5.17,97.85,1,Cost-effective and timely
51,Project_51,Bridge Construction,Description of Project_51 in Bridge Construction.,406,Rural,6515873,Company_35,5942072.87,2025-11-06,483,481,38,421272573.19,11,0.64,0,-8.81,18.97,77.56,1,Cost-effective and timely
51,Project_51,Bridge Construction,Description of Project_51 in Bridge Construction.,406,Rural,6515873,Company_185,6877758.83,2025-10-02,450,507,11,329844928.49,1,0.87,0,5.55,10.84,69.55,0,High deviation in cost or deadlines
52,Project_52,Road Construction,Description of Project_52 in Road Construction.,204,Rural,7822014,Company_727,9104441.76,2025-05-13,201,766,5,272698277.49,23,0.6,0,16.4,-1.47,59.09,0,High deviation in cost or deadlines
52,Project_52,Road Construction,Description of Project_52 in Road Construction.,204,Rural,7822014,Company_835,6845038.8,2025-04-07,239,141,36,81657625.34,41,0.51,1,-12.49,17.16,76.15,1,Cost-effective and timely
52,Project_52,Road Construction,Description of Project_52 in Road Construction.,204,Rural,7822014,Company_385,9112329.95,2025-02-01,193,424,10,459008183.54,1,0.83,1,16.5,-5.39,65.69,0,High deviation in cost or deadlines
52,Project_52,Road Construction,Description of Project_52 in Road Construction.,204,Rural,7822014,Company_147,9124711.53,2025-03-17,247,309,20,337080259.76,15,0.83,0,16.65,21.08,74.74,1,Cost-effective and timely
52,Project_52,Road Construction,Description of Project_52 in Road Construction.,204,Rural,7822014,Company_316,7127514.61,2025-01-14,221,791,47,496088962.42,17,0.71,1,-8.88,8.33,88.82,1,Cost-effective and timely
53,Project_53,Industrial Complex,Description of Project_53 in Industrial Complex.,527,Suburban,3544902,Company_281,4125193.33,2025-11-19,499,260,37,372128875.34,7,0.79,1,16.37,-5.31,82.21,1,Cost-effective and timely
53,Project_53,Industrial Complex,Description of Project_53 in Industrial Complex.,527,Suburban,3544902,Company_10,4189911.32,2025-02-25,594,253,43,279552058.31,35,0.78,1,18.2,12.71,93.01,1,Cost-effective and timely
53,Project_53,Industrial Complex,Description of Project_53 in Industrial Complex.,527,Suburban,3544902,Company_97,3847270.16,2025-06-20,515,638,6,87724391.87,6,0.68,1,8.53,-2.28,60.5,0,High deviation in cost or deadlines
53,Project_53,Industrial Complex,Description of Project_53 in Industrial Complex.,527,Suburban,3544902,Company_686,3168580.8,2025-12-13,611,851,32,454441912.9,31,0.75,0,-10.62,15.94,84.78,1,Cost-effective and timely
53,Project_53,Industrial Complex,Description of Project_53 in Industrial Complex.,527,Suburban,3544902,Company_947,3816532.98,2025-04-15,610,683,29,494702651.53,16,0.64,1,7.66,15.75,73.99,1,Cost-effective and timely
54,Project_54,Bridge Construction,Description of Project_54 in Bridge Construction.,434,Urban,19347376,Company_829,19114902.72,2025-03-03,394,550,36,149115899.9,15,0.64,0,-1.2,-9.22,79.88,1,Cost-effective and timely
54,Project_54,Bridge Construction,Description of Project_54 in Bridge Construction.,434,Urban,19347376,Company_9,15873945.48,2025-01-07,427,251,41,457830189.11,25,0.97,1,-17.95,-1.61,99.35,1,Cost-effective and timely
54,Project_54,Bridge Construction,Description of Project_54 in Bridge Construction.,434,Urban,19347376,Company_389,21430707.4,2025-04-14,393,993,42,83888045.35,44,0.73,0,10.77,-9.45,94.15,1,Cost-effective and timely
54,Project_54,Bridge Construction,Description of Project_54 in Bridge Construction.,434,Urban,19347376,Company_953,16829234.29,2025-09-19,457,663,50,468486363.02,23,0.98,0,-13.02,5.3,105.08,1,Cost-effective and timely
54,Project_54,Bridge Construction,Description of Project_54 in Bridge Construction.,434,Urban,19347376,Company_826,22368417.67,2025-07-25,413,261,42,293673591.0,15,0.95,0,15.61,-4.84,95.29,1,Cost-effective and timely
55,Project_55,Residential Building,Description of Project_55 in Residential Building.,604,Rural,13100167,Company_256,14238620.21,2025-03-25,595,540,17,364287119.01,17,0.97,0,8.69,-1.49,83.71,1,Cost-effective and timely
55,Project_55,Residential Building,Description of Project_55 in Residential Building.,604,Rural,13100167,Company_494,13734735.92,2025-04-05,656,334,22,94529155.6,17,0.77,0,4.84,8.61,77.41,1,Cost-effective and timely
55,Project_55,Residential Building,Description of Project_55 in Residential Building.,604,Rural,13100167,Company_190,12443792.87,2025-03-14,627,330,9,340605335.77,12,0.73,0,-5.01,3.81,66.72,0,High deviation in cost or deadlines
55,Project_55,Residential Building,Description of Project_55 in Residential Building.,604,Rural,13100167,Company_368,12154874.82,2025-08-05,653,807,17,468574019.25,21,0.9,1,-7.22,8.11,81.5,1,Cost-effective and timely
55,Project_55,Residential Building,Description of Project_55 in Residential Building.,604,Rural,13100167,Company_108,12697524.62,2025-04-26,576,898,28,121393950.62,5,0.67,1,-3.07,-4.64,73.86,1,Cost-effective and timely
56,Project_56,Industrial Complex,Description of Project_56 in Industrial Complex.,317,Rural,8530281,Company_696,8995114.82,2025-11-28,382,876,31,319157897.47,43,0.68,1,5.45,20.5,84.36,1,Cost-effective and timely
56,Project_56,Industrial Complex,Description of Project_56 in Industrial Complex.,317,Rural,8530281,Company_31,9805671.94,2025-08-05,387,400,40,76268653.19,3,0.65,0,14.95,22.08,75.58,1,Cost-effective and timely
56,Project_56,Industrial Complex,Description of Project_56 in Industrial Complex.,317,Rural,8530281,Company_217,9677375.96,2025-10-05,317,578,9,221201540.26,11,0.8,0,13.45,0.0,68.23,0,High deviation in cost or deadlines
56,Project_56,Industrial Complex,Description of Project_56 in Industrial Complex.,317,Rural,8530281,Company_579,8150089.13,2025-05-12,372,258,24,152106605.34,23,0.9,0,-4.46,17.35,86.05,1,Cost-effective and timely
56,Project_56,Industrial Complex,Description of Project_56 in Industrial Complex.,317,Rural,8530281,Company_55,8109167.16,2025-08-10,362,331,41,42327608.24,31,0.53,1,-4.94,14.2,79.96,1,Cost-effective and timely
57,Project_57,Road Construction,Description of Project_57 in Road Construction.,364,Urban,6984602,Company_523,5674583.42,2025-10-03,371,863,49,416528571.13,45,0.87,0,-18.76,1.92,105.92,1,Cost-effective and timely
57,Project_57,Road Construction,Description of Project_57 in Road Construction.,364,Urban,6984602,Company_191,6136812.23,2025-01-16,396,979,35,310717476.04,16,0.85,0,-12.14,8.79,87.13,1,Cost-effective and timely
57,Project_57,Road Construction,Description of Project_57 in Road Construction.,364,Urban,6984602,Company_645,5947112.71,2025-07-10,389,564,14,73924626.93,7,0.74,0,-14.85,6.87,66.42,0,High deviation in cost or deadlines
57,Project_57,Road Construction,Description of Project_57 in Road Construction.,364,Urban,6984602,Company_333,6759824.18,2025-05-02,382,510,18,110549651.06,21,0.87,0,-3.22,4.95,81.77,1,Cost-effective and timely
57,Project_57,Road Construction,Description of Project_57 in Road Construction.,364,Urban,6984602,Company_713,8187947.67,2025-11-09,355,571,43,419642109.86,20,0.74,0,17.23,-2.47,87.63,1,Cost-effective and timely
58,Project_58,Road Construction,Description of Project_58 in Road Construction.,319,Urban,13793123,Company_928,12187903.68,2025-12-01,329,935,38,415417400.5,28,0.52,0,-11.64,3.13,76.78,1,Cost-effective and timely
58,Project_58,Road Construction,Description of Project_58 in Road Construction.,319,Urban,13793123,Company_767,13578269.39,2025-09-01,377,396,5,354855205.53,5,0.79,1,-1.56,18.18,64.05,0,High deviation in cost or deadlines
58,Project_58,Road Construction,Description of Project_58 in Road Construction.,319,Urban,13793123,Company_22,16184207.66,2025-09-07,353,735,14,396810931.32,27,0.62,0,17.34,10.66,65.36,0,High deviation in cost or deadlines
58,Project_58,Road Construction,Description of Project_58 in Road Construction.,319,Urban,13793123,Company_595,13616973.8,2025-02-16,404,72,19,187499678.56,48,0.74,0,-1.28,26.65,82.29,1,Cost-effective and timely
58,Project_58,Road Construction,Description of Project_58 in Road Construction.,319,Urban,13793123,Company_710,14324006.09,2025-01-07,300,212,8,306316298.46,30,0.94,0,3.85,-5.96,82.31,1,Cost-effective and timely
59,Project_59,Bridge Construction,Description of Project_59 in Bridge Construction.,525,Suburban,2634136,Company_216,2938382.15,2025-09-12,551,599,41,307508817.38,41,0.7,0,11.55,4.95,91.28,1,Cost-effective and timely
59,Project_59,Bridge Construction,Description of Project_59 in Bridge Construction.,525,Suburban,2634136,Company_536,2494816.16,2025-08-14,529,50,34,410787320.27,5,0.99,0,-5.29,0.76,90.85,1,Cost-effective and timely
59,Project_59,Bridge Construction,Description of Project_59 in Bridge Construction.,525,Suburban,2634136,Company_5,2521983.58,2025-04-25,597,795,35,400357537.01,13,0.92,0,-4.26,13.71,90.36,1,Cost-effective and timely
59,Project_59,Bridge Construction,Description of Project_59 in Bridge Construction.,525,Suburban,2634136,Company_15,2231455.93,2025-07-01,574,792,19,113116181.49,39,0.57,0,-15.29,9.33,69.1,0,High deviation in cost or deadlines
59,Project_59,Bridge Construction,Description of Project_59 in Bridge Construction.,525,Suburban,2634136,Company_861,2813737.44,2025-12-09,599,760,40,69812558.6,15,0.96,1,6.82,14.1,95.39,1,Cost-effective and timely
60,Project_60,Bridge Construction,Description of Project_60 in Bridge Construction.,219,Urban,15418832,Company_602,17024804.0,2025-10-08,258,522,12,138655237.72,7,0.89,0,10.42,17.81,71.43,1,Cost-effective and timely
60,Project_60,Bridge Construction,Description of Project_60 in Bridge Construction.,219,Urban,15418832,Company_713,16001149.62,2025-07-04,219,654,17,200291127.67,28,0.87,0,3.78,0.0,83.99,1,Cost-effective and timely
60,Project_60,Bridge Construction,Description of Project_60 in Bridge Construction.,219,Urban,15418832,Company_439,13449080.37,2025-05-13,242,547,28,414957597.51,19,0.52,0,-12.77,10.5,67.95,0,High deviation in cost or deadlines
60,Project_60,Bridge Construction,Description of Project_60 in Bridge Construction.,219,Urban,15418832,Company_472,17640978.63,2025-11-04,317,249,40,244784442.93,2,0.52,0,14.41,44.75,67.86,0,High deviation in cost or deadlines
60,Project_60,Bridge Construction,Description of Project_60 in Bridge Construction.,219,Urban,15418832,Company_785,14683488.92,2025-11-23,256,372,11,281567388.69,5,0.8,0,-4.77,16.89,67.56,0,High deviation in cost or deadlines
61,Project_61,Residential Building,Description of Project_61 in Residential Building.,710,Rural,6785843,Company_474,8008259.18,2025-04-11,678,683,21,241108558.05,9,0.68,0,18.01,-4.51,68.19,0,High deviation in cost or deadlines
61,Project_61,Residential Building,Description of Project_61 in Residential Building.,710,Rural,6785843,Company_599,7095401.67,2025-11-28,739,491,13,210026724.45,20,0.83,1,4.56,4.08,76.32,1,Cost-effective and timely
61,Project_61,Residential Building,Description of Project_61 in Residential Building.,710,Rural,6785843,Company_924,6712259.31,2025-10-22,732,770,16,150046388.58,19,0.81,0,-1.08,3.1,77.63,1,Cost-effective and timely
61,Project_61,Residential Building,Description of Project_61 in Residential Building.,710,Rural,6785843,Company_330,6631267.89,2025-10-22,784,647,41,129311022.62,43,1.0,0,-2.28,10.42,110.3,1,Cost-effective and timely
61,Project_61,Residential Building,Description of Project_61 in Residential Building.,710,Rural,6785843,Company_322,6467430.01,2025-08-04,775,156,23,438892797.13,12,0.99,0,-4.69,9.15,86.3,1,Cost-effective and timely
62,Project_62,Industrial Complex,Description of Project_62 in Industrial Complex.,242,Suburban,16006878,Company_176,15900667.15,2025-06-12,205,294,18,228726611.72,44,0.64,0,-0.66,-15.29,76.0,1,Cost-effective and timely
62,Project_62,Industrial Complex,Description of Project_62 in Industrial Complex.,242,Suburban,16006878,Company_31,18539054.88,2025-11-05,226,291,46,15493293.8,33,0.62,0,15.82,-6.61,86.76,1,Cost-effective and timely
62,Project_62,Industrial Complex,Description of Project_62 in Industrial Complex.,242,Suburban,16006878,Company_313,18244073.65,2025-09-12,266,880,48,405160048.05,17,0.52,1,13.98,9.92,79.35,1,Cost-effective and timely
62,Project_62,Industrial Complex,Description of Project_62 in Industrial Complex.,242,Suburban,16006878,Company_941,15926177.27,2025-04-11,278,154,26,436206998.88,18,1.0,0,-0.5,14.88,91.21,1,Cost-effective and timely
62,Project_62,Industrial Complex,Description of Project_62 in Industrial Complex.,242,Suburban,16006878,Company_763,16150847.6,2025-05-03,321,459,46,94040897.42,36,0.97,0,0.9,32.64,106.92,1,Cost-effective and timely
63,Project_63,Bridge Construction,Description of Project_63 in Bridge Construction.,473,Urban,14817445,Company_952,15171780.69,2025-09-02,461,846,21,363081882.21,42,0.58,1,2.39,-2.54,74.81,1,Cost-effective and timely
63,Project_63,Bridge Construction,Description of Project_63 in Bridge Construction.,473,Urban,14817445,Company_690,12137079.67,2025-11-04,480,514,18,48923431.42,34,0.76,1,-18.09,1.48,77.77,1,Cost-effective and timely
63,Project_63,Bridge Construction,Description of Project_63 in Bridge Construction.,473,Urban,14817445,Company_310,13237306.75,2025-10-25,489,788,30,438037013.96,25,0.51,0,-10.66,3.38,71.03,1,Cost-effective and timely
63,Project_63,Bridge Construction,Description of Project_63 in Bridge Construction.,473,Urban,14817445,Company_448,17752374.27,2025-07-14,446,258,40,256006625.57,6,0.9,0,19.81,-5.71,87.63,1,Cost-effective and timely
63,Project_63,Bridge Construction,Description of Project_63 in Bridge Construction.,473,Urban,14817445,Company_235,14302987.44,2025-01-06,536,470,25,155395052.35,7,0.68,0,-3.47,13.32,72.08,1,Cost-effective and timely
64,Project_64,Road Construction,Description of Project_64 in Road Construction.,216,Suburban,4582303,Company_26,3756818.37,2025-03-15,303,798,19,27051857.01,22,0.86,0,-18.01,40.28,75.74,1,Cost-effective and timely
64,Project_64,Road Construction,Description of Project_64 in Road Construction.,216,Suburban,4582303,Company_130,4299118.63,2025-01-24,237,473,40,66686913.24,12,0.72,0,-6.18,9.72,84.05,1,Cost-effective and timely
64,Project_64,Road Construction,Description of Project_64 in Road Construction.,216,Suburban,4582303,Company_256,3738794.35,2025-06-14,234,834,46,197774149.39,4,0.58,0,-18.41,8.33,77.21,1,Cost-effective and timely
64,Project_64,Road Construction,Description of Project_64 in Road Construction.,216,Suburban,4582303,Company_473,5260579.24,2025-09-13,174,587,17,495118620.18,19,0.84,0,14.8,-19.44,75.28,1,Cost-effective and timely
64,Project_64,Road Construction,Description of Project_64 in Road Construction.,216,Suburban,4582303,Company_614,4796074.08,2025-12-06,206,209,16,268204802.63,7,0.57,0,4.67,-4.63,62.6,0,High deviation in cost or deadlines
65,Project_65,Residential Building,Description of Project_65 in Residential Building.,462,Rural,12074644,Company_397,10118202.32,2025-06-10,465,961,45,407465842.6,12,0.73,1,-16.2,0.65,86.4,1,Cost-effective and timely
65,Project_65,Residential Building,Description of Project_65 in Residential Building.,462,Rural,12074644,Company_167,13863740.46,2025-05-05,544,556,11,417592173.54,39,0.81,0,14.82,17.75,76.9,1,Cost-effective and timely
65,Project_65,Residential Building,Description of Project_65 in Residential Building.,462,Rural,12074644,Company_462,12649545.12,2025-06-22,479,918,32,445250050.59,27,0.59,0,4.76,3.68,77.85,1,Cost-effective and timely
65,Project_65,Residential Building,Description of Project_65 in Residential Building.,462,Rural,12074644,Company_40,12837327.11,2025-11-13,479,994,46,266007029.4,33,0.63,0,6.32,3.68,89.48,1,Cost-effective and timely
65,Project_65,Residential Building,Description of Project_65 in Residential Building.,462,Rural,12074644,Company_838,11591258.34,2025-01-01,512,121,22,441876032.69,2,0.6,1,-4.0,10.82,65.8,0,High deviation in cost or deadlines
66,Project_66,Bridge Construction,Description of Project_66 in Bridge Construction.,389,Urban,9012395,Company_94,8897442.15,2025-10-19,339,763,50,283794318.19,15,0.91,0,-1.28,-12.85,100.32,1,Cost-effective and timely
66,Project_66,Bridge Construction,Description of Project_66 in Bridge Construction.,389,Urban,9012395,Company_421,8888208.1,2025-03-21,454,630,49,472870349.48,9,0.58,0,-1.38,16.71,82.74,1,Cost-effective and timely
66,Project_66,Bridge Construction,Description of Project_66 in Bridge Construction.,389,Urban,9012395,Company_864,7604445.26,2025-09-01,398,501,38,421746892.79,41,0.79,0,-15.62,2.31,94.0,1,Cost-effective and timely
66,Project_66,Bridge Construction,Description of Project_66 in Bridge Construction.,389,Urban,9012395,Company_758,8510874.73,2025-03-12,379,455,47,325981941.61,4,0.57,0,-5.56,-2.57,80.54,1,Cost-effective and timely
66,Project_66,Bridge Construction,Description of Project_66 in Bridge Construction.,389,Urban,9012395,Company_739,7753331.98,2025-01-15,439,418,41,107287238.75,49,0.53,0,-13.97,12.85,82.11,1,Cost-effective and timely
67,Project_67,Residential Building,Description of Project_67 in Residential Building.,675,Suburban,6739389,Company_11,5813174.03,2025-04-15,661,434,8,95245204.71,49,0.92,0,-13.74,-2.07,86.68,1,Cost-effective and timely
67,Project_67,Residential Building,Description of Project_67 in Residential Building.,675,Suburban,6739389,Company_978,6045813.38,2025-05-05,772,738,32,271075858.64,40,0.7,0,-10.29,14.37,84.91,1,Cost-effective and timely
67,Project_67,Residential Building,Description of Project_67 in Residential Building.,675,Suburban,6739389,Company_755,6220277.32,2025-02-01,728,704,25,464263716.56,17,0.67,0,-7.7,7.85,74.03,1,Cost-effective and timely
67,Project_67,Residential Building,Description of Project_67 in Residential Building.,675,Suburban,6739389,Company_595,7725993.4,2025-07-10,744,393,35,50841173.63,16,0.62,1,14.64,10.22,75.82,1,Cost-effective and timely
67,Project_67,Residential Building,Description of Project_67 in Residential Building.,675,Suburban,6739389,Company_379,5775158.93,2025-06-17,683,772,41,113266008.83,18,0.59,0,-14.31,1.19,79.47,1,Cost-effective and timely
68,Project_68,Industrial Complex,Description of Project_68 in Industrial Complex.,397,Urban,14082324,Company_299,16600848.28,2025-04-22,439,133,16,104245807.33,26,0.52,1,17.88,10.58,61.17,0,High deviation in cost or deadlines
68,Project_68,Industrial Complex,Description of Project_68 in Industrial Complex.,397,Urban,14082324,Company_136,11905906.94,2025-07-08,431,523,26,478261107.99,8,0.55,0,-15.45,8.56,65.41,0,High deviation in cost or deadlines
68,Project_68,Industrial Complex,Description of Project_68 in Industrial Complex.,397,Urban,14082324,Company_196,14449698.07,2025-01-02,413,885,20,4672986.72,49,0.66,1,2.61,4.03,80.41,1,Cost-effective and timely
68,Project_68,Industrial Complex,Description of Project_68 in Industrial Complex.,397,Urban,14082324,Company_393,16100114.53,2025-06-13,455,525,38,475086334.55,37,0.84,0,14.33,14.61,94.5,1,Cost-effective and timely
68,Project_68,Industrial Complex,Description of Project_68 in Industrial Complex.,397,Urban,14082324,Company_926,13117940.27,2025-07-14,361,273,50,436375768.03,9,0.81,1,-6.85,-9.07,93.04,1,Cost-effective and timely
69,Project_69,Industrial Complex,Description of Project_69 in Industrial Complex.,448,Urban,19445593,Company_288,15916381.17,2025-05-02,464,74,33,440954299.67,7,0.61,1,-18.15,3.57,71.92,1,Cost-effective and timely
69,Project_69,Industrial Complex,Description of Project_69 in Industrial Complex.,448,Urban,19445593,Company_588,19296373.52,2025-04-23,489,954,38,415347736.99,35,0.68,0,-0.77,9.15,88.45,1,Cost-effective and timely
69,Project_69,Industrial Complex,Description of Project_69 in Industrial Complex.,448,Urban,19445593,Company_2,16316582.84,2025-01-23,440,110,15,353752546.52,38,0.53,0,-16.09,-1.79,64.86,0,High deviation in cost or deadlines
69,Project_69,Industrial Complex,Description of Project_69 in Industrial Complex.,448,Urban,19445593,Company_469,18650050.68,2025-01-23,443,640,31,301796109.01,20,0.87,0,-4.09,-1.12,89.43,1,Cost-effective and timely
69,Project_69,Industrial Complex,Description of Project_69 in Industrial Complex.,448,Urban,19445593,Company_687,18719737.71,2025-10-20,522,119,19,204798125.6,43,0.79,0,-3.73,16.52,84.19,1,Cost-effective and timely
70,Project_70,Industrial Complex,Description of Project_70 in Industrial Complex.,552,Rural,7142397,Company_29,6896315.43,2025-07-24,547,334,26,380421347.33,8,0.57,0,-3.45,-0.91,69.44,0,High deviation in cost or deadlines
70,Project_70,Industrial Complex,Description of Project_70 in Industrial Complex.,552,Rural,7142397,Company_682,7178696.79,2025-01-21,590,926,11,136303064.2,5,0.61,0,0.51,6.88,61.43,0,High deviation in cost or deadlines
70,Project_70,Industrial Complex,Description of Project_70 in Industrial Complex.,552,Rural,7142397,Company_491,6499563.67,2025-10-11,551,144,22,148477550.15,39,0.69,0,-9.0,-0.18,79.75,1,Cost-effective and timely
70,Project_70,Industrial Complex,Description of Project_70 in Industrial Complex.,552,Rural,7142397,Company_232,5809205.24,2025-02-26,612,943,33,50282411.09,28,0.7,1,-18.67,10.87,80.82,1,Cost-effective and timely
70,Project_70,Industrial Complex,Description of Project_70 in Industrial Complex.,552,Rural,7142397,Company_163,6414489.19,2025-12-07,560,853,33,388412370.45,16,0.7,0,-10.19,1.45,80.1,1,Cost-effective and timely
71,Project_71,Bridge Construction,Description of Project_71 in Bridge Construction.,604,Urban,19985576,Company_984,23110001.31,2025-05-23,619,380,27,227657731.17,8,0.74,0,15.63,2.48,74.79,1,Cost-effective and timely
71,Project_71,Bridge Construction,Description of Project_71 in Bridge Construction.,604,Urban,19985576,Company_610,22977126.15,2025-05-16,672,150,47,470763467.97,16,0.64,0,14.97,11.26,83.78,1,Cost-effective and timely
71,Project_71,Bridge Construction,Description of Project_71 in Bridge Construction.,604,Urban,19985576,Company_354,21182952.9,2025-03-17,562,426,32,217146146.22,3,0.84,0,5.99,-6.95,81.91,1,Cost-effective and timely
71,Project_71,Bridge Construction,Description of Project_71 in Bridge Construction.,604,Urban,19985576,Company_376,23061725.28,2025-05-23,685,521,20,345579782.74,41,0.93,1,15.39,13.41,90.03,1,Cost-effective and timely
71,Project_71,Bridge Construction,Description of Project_71 in Bridge Construction.,604,Urban,19985576,Company_333,21138211.56,2025-11-02,640,244,18,27951627.03,21,0.9,0,5.77,5.96,82.61,1,Cost-effective and timely
72,Project_72,Road Construction,Description of Project_72 in Road Construction.,281,Rural,19562831,Company_59,18524666.36,2025-06-11,262,611,7,442635124.05,25,0.69,0,-5.31,-6.76,66.96,0,High deviation in cost or deadlines
72,Project_72,Road Construction,Description of Project_72 in Road Construction.,281,Rural,19562831,Company_922,22426425.95,2025-11-05,281,184,10,464322397.7,20,0.54,0,14.64,0.0,58.99,0,High deviation in cost or deadlines
72,Project_72,Road Construction,Description of Project_72 in Road Construction.,281,Rural,19562831,Company_633,18337384.6,2025-12-24,376,268,10,53274221.7,19,0.95,0,-6.26,33.81,76.59,1,Cost-effective and timely
72,Project_72,Road Construction,Description of Project_72 in Road Construction.,281,Rural,19562831,Company_43,22451081.54,2025-03-26,381,559,45,398527034.56,8,0.75,0,14.76,35.59,82.89,1,Cost-effective and timely
72,Project_72,Road Construction,Description of Project_72 in Road Construction.,281,Rural,19562831,Company_735,19523046.89,2025-07-18,335,637,50,423011805.39,23,0.88,0,-0.2,19.22,101.33,1,Cost-effective and timely
73,Project_73,Road Construction,Description of Project_73 in Road Construction.,291,Rural,1115844,Company_597,1011783.57,2025-02-26,380,497,29,87196554.57,35,0.81,1,-9.33,30.58,86.22,1,Cost-effective and timely
73,Project_73,Road Construction,Description of Project_73 in Road Construction.,291,Rural,1115844,Company_981,962001.7,2025-08-15,366,966,49,145973970.07,32,0.64,0,-13.79,25.77,87.86,1,Cost-effective and timely
73,Project_73,Road Construction,Description of Project_73 in Road Construction.,291,Rural,1115844,Company_138,975750.84,2025-08-20,377,353,17,472601523.76,45,0.6,0,-12.55,29.55,69.53,0,High deviation in cost or deadlines
73,Project_73,Road Construction,Description of Project_73 in Road Construction.,291,Rural,1115844,Company_109,1299180.81,2025-08-06,302,355,31,98728270.81,9,0.54,1,16.43,3.78,68.48,0,High deviation in cost or deadlines
73,Project_73,Road Construction,Description of Project_73 in Road Construction.,291,Rural,1115844,Company_808,1271107.89,2025-09-18,295,112,49,305662431.64,37,0.52,0,13.91,1.37,84.98,1,Cost-effective and timely
74,Project_74,Industrial Complex,Description of Project_74 in Industrial Complex.,381,Urban,15248096,Company_123,17481238.81,2025-01-16,423,273,20,35094555.18,38,0.9,0,14.65,11.02,87.65,1,Cost-effective and timely
